title,inception,movement,genre,image_url
Q61963077,1479-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Misericordia%20Miracle%20Neu%204138.jpg
Q61963086,1479-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Misericordia%20els%20dos%20Joans%204158.jpg
Q61963086,1479-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Misericordia%20els%20dos%20Joans%204158.jpg
Saint Damian,1477-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Bartolom%C3%A9%20Bermejo%20%281440-1495%29%20-%20De%20heilige%20Damiaan%20%28ca.1490%29%20-%20Lissabon%20Museu%20Nacional%20de%20Arte%20Antiga%2019-10-2010%2016-12-101.jpg
Saint Damian,1477-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Bartolom%C3%A9%20Bermejo%20%281440-1495%29%20-%20De%20heilige%20Damiaan%20%28ca.1490%29%20-%20Lissabon%20Museu%20Nacional%20de%20Arte%20Antiga%2019-10-2010%2016-12-101.jpg
Descent from the Cross,1477-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Descendimiento%2C%20de%20Bartolom%C3%A9%20Bermejo%20y%20Mart%C3%ADn%20Bernat%20%28Museo%20de%20Zaragoza%29.JPG
Descent from the Cross,1477-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Descendimiento%2C%20de%20Bartolom%C3%A9%20Bermejo%20y%20Mart%C3%ADn%20Bernat%20%28Museo%20de%20Zaragoza%29.JPG
The Adoration of the Magi,1477-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Bermejo-Epifania-Gr.jpg
The Adoration of the Magi,1477-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Bermejo-Epifania-Gr.jpg
Q61965321,1477-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20Santa%20Fa%C3%A7%204148.jpg
Q61965321,1477-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20Santa%20Fa%C3%A7%204148.jpg
Triptych of the Virgin of Montserrat,1483-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Montserrat%20Anunciacio-tancat%204149.jpg
Triptych of the Virgin of Montserrat,1483-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Montserrat%20Anunciacio-tancat%204149.jpg
